Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude
Svärd Petersen E,262915_HST,1270,Undernummer: 477,Järn,Raftötången,,Tanum socken,Bohuslän,Sverige,,,Historiska museet,Svärd Petersen E - 41,https://samlingar.shm.se/object/E9C1254B-506A-4D69-823C-68D9FE6BD4D5,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,262915_HST,,1270,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=1270,,1846,"Plats: Raftötången, Socken: Tanum socken, Kommun: Tanum kommun, Landskap: Bohuslän, Land: Sverige",,,,,,1,58.780508,11.202228364187478,46.3144754,11.0480288
Svärd Petersen H/I,262934_HST,34000,Undernummer: Bj 514,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,514,Historiska museet,Svärd Petersen H/I - 42,https://samlingar.shm.se/object/B2B3A4E0-9D4A-4678-AA01-DF18C7CE536B,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,262934_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 514",Bj 514,"Stolpe, Hjalmar",1877,Längd 79 cm  Bredd 10 cm,3,,,,
Eneggat svärd,263341_HST,17320,FID: 263341,Järn,Sangis,L1993:208,Nederkalix socken,Norrbotten,Sverige,,,Historiska museet,Eneggat svärd - 43,https://samlingar.shm.se/object/D1454B6B-27B6-48D1-9455-81E86B94B558,Arkeologisk samling  Vapen och rustningar,1,550 – 1100,Vendeltid  Vikingatid,263341_HST,,17320,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17320,,1923,"Plats: Sangis, Fornlämning: L1993:208, Socken: Nederkalix socken, Kommun: Kalix kommun, Landskap: Norrbotten, Land: Sverige",,,,,Längd 87 cm  Bredd 5.6 cm,2,65.8557891,23.4957498,46.3144754,11.0480288
Spjut,466990_HST,34000,Undernummer: Bj 703,"Järn, Brons","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,703,Historiska museet,Spjut - 44,https://samlingar.shm.se/object/3FF2D076-5861-4FFC-BAAE-A78CAC115A1A,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,466990_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Obekant yttre gravskick: 703",Bj 703,"Stolpe, Hjalmar",1879,,,,,,
Sporre,468571_HST,34000,Undernummer: Bj 710,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,710,Historiska museet,Sporre - 45,https://samlingar.shm.se/object/08CE43D4-2336-49D5-96D4-40694D1E001D,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,468571_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 710",Bj 710,"Stolpe, Hjalmar",1879,,4,,,,
Spjut,469109_HST,34000,Undernummer: Bj 713,"Järn, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,713,Historiska museet,Spjut - 46,https://samlingar.shm.se/object/3F7D7491-E017-4873-A701-306362C80313,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,469109_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 713",Bj 713,"Stolpe, Hjalmar",1879,,1,,,,
Rundsköld,469110_HST,34000,Undernummer: Bj 713,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,713,Historiska museet,Rundsköld - 47,https://samlingar.shm.se/object/981C41AC-53E2-457C-8EEF-D8CC401F7246,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,469110_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 713",Bj 713,"Stolpe, Hjalmar",1879,,16,,,,
Spets,473188_HST,34000,Undernummer: Bj 644,Ben/Horn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,644,Historiska museet,Spets - 48,https://samlingar.shm.se/object/69E96297-D57B-4F70-A978-A5C6DAF8139B,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,473188_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 644",Bj 644,"Stolpe, Hjalmar",1878,,3,,,,
Rundsköld,467014_HST,34000,Undernummer: Bj 703,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,703,Historiska museet,Rundsköld - 49,https://samlingar.shm.se/object/8CAF9B19-6120-4D00-9F12-E37BF29A3A67,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,467014_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Obekant yttre gravskick: 703",Bj 703,"Stolpe, Hjalmar",1879,,14,,,,
Pilspets,469527_HST,34000,Undernummer: Bj 62,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,62,Historiska museet,Pilspets - 50,https://samlingar.shm.se/object/70D4F05D-2275-496E-B39F-CA22B6EF5512,Vapen och rustningar  Arkeologisk samling,6,800 – 1100,Vikingatid,469527_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 62",Bj 62,"Stolpe, Hjalmar",1875,Längd 95.8 mm,7,,,,
Pil,552216_HST,34000,Undernummer: Bj 458,Järn,"Björkö, Borg",L2017:1477,Adelsö socken,Uppland,Sverige,Brandgrav,458,Historiska museet,Pil - 51,https://samlingar.shm.se/object/C14F83D2-7469-48A9-81DD-96D69DC497CA,Vapen och rustningar  Arkeologisk samling,2,800 – 1100,Vikingatid,552216_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Borg, Fornlämning: L2017:1477, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Obekant yttre gravskick: 458",Bj 458,"Stolpe, Hjalmar",1876,Längd 103.9 mm  Längd 83.1 mm,,,,,
Svärd Petersen H/I,422213_HST,474,Undernummer: 1,"Järn, Silver, Koppar","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,Grav VI,Historiska museet,Svärd Petersen H/I - 52,https://samlingar.shm.se/object/4171CE8C-CC26-4C3B-B64C-045E79DF80D7,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,422213_HST,"Birka, Adelsö socken",474,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=474,Gåva,1827,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Obekant yttre gravskick: Grav VI",VI,"Seton, Alexander  Seton, Alexander",1827,,41,,,,
Sköld,539201_HST,34000,Undernummer: Bj 369,Järn,"Björkö, Borgs hage",L2017:1478,Adelsö socken,Uppland,Sverige,Brandgrav,369,Historiska museet,Sköld - 53,https://samlingar.shm.se/object/376C004E-C675-4825-90B1-26C20649B7BE,Vapen och rustningar  Arkeologisk samling,6,800 – 1100,Vikingatid,539201_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Borgs hage, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 369",Bj 369,"Stolpe, Hjalmar",1876,,,,,,
Pil,541280_HST,34663,Fyndnummer: 196,Järn,Klints,L1975:3589,Othem socken,Gotland,Sverige,,,Historiska museet,Pil - 54,https://samlingar.shm.se/object/971C375D-E67A-41E9-91B8-EF66C95D8165,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,541280_HST,,34663,,KML,2007,"Plats: Klints, Fornlämning: L1975:3589, Fastighet: Klints 1:16, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Vikt 19 g,1,57.7192087,18.7484908,46.3144754,11.0480288
Pil,541282_HST,34663,Fyndnummer: 197,Järn,Klints,L1975:3589,Othem socken,Gotland,Sverige,,,Historiska museet,Pil - 55,https://samlingar.shm.se/object/57AF6F2D-6487-4901-AD03-C566467E08D9,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,541282_HST,,34663,,KML,2007,"Plats: Klints, Fornlämning: L1975:3589, Fastighet: Klints 1:16, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Vikt 14 g,1,57.7192087,18.7484908,46.3144754,11.0480288
Pilspets,539095_HST,34000,Undernummer: Bj 367,Järn,"Björkö, Borgs hage",L2017:1478,Adelsö socken,Uppland,Sverige,Brandgrav,367,Historiska museet,Pilspets - 56,https://samlingar.shm.se/object/964F6389-FD1C-4CC7-AF80-016D549F03F8,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,539095_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Borgs hage, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 367",Bj 367,"Stolpe, Hjalmar",1876,,,,,,
Pilspets,526286_HST,34000,Undernummer: Bj 307,Järn,"Björkö, Kvarnbacka",L2017:2006,Adelsö socken,Uppland,Sverige,Brandgrav,307,Historiska museet,Pilspets - 57,https://samlingar.shm.se/object/8E8E6598-A527-44AF-A940-CEB322D36004,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,526286_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Kvarnbacka, Fornlämning: L2017:2006, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 307",Bj 307,"Stolpe, Hjalmar",1876,Längd 74.6 mm,,,,,
Yxa,527788_HST,13016,Undernummer: 1,Järn,,,Bolmsö socken,Småland,Sverige,,,Historiska museet,Yxa - 58,https://samlingar.shm.se/object/3C67FDE4-9F70-4B35-A982-CE8651F9F689,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,1,800 – 1100,Vikingatid,527788_HST,,13016,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=13016,,1907,"Socken: Bolmsö socken, Kommun: Ljungby kommun, Landskap: Småland, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Spjut,530284_HST,34000,Undernummer: Bj 855,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,855,Historiska museet,Spjut - 59,https://samlingar.shm.se/object/6FE09A89-4056-4A27-BFE6-8C385607FB5E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,530284_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 855",Bj 855,"Stolpe, Hjalmar",,,,,,,
Pilspets,533843_HST,34000,Undernummer: Bj 347,Järn,"Björkö, Kvarnbacka",L2017:2006,Adelsö socken,Uppland,Sverige,Brandgrav,347,Historiska museet,Pilspets - 60,https://samlingar.shm.se/object/7A100B71-A880-4906-90B6-99CA6A19E813,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,533843_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Kvarnbacka, Fornlämning: L2017:2006, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 347",Bj 347,"Stolpe, Hjalmar",1876,Längd 83.3 mm,,,,,
Tångepilspets,460791_HST,34000,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596 C s.ö.,Historiska museet,Tångepilspets - 61,https://samlingar.shm.se/object/0CF00F71-2CF3-45D3-9301-8AAEB8DA5C25,Vapen och rustningar  Arkeologisk samling,11,800 – 1100,Vikingatid,460791_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596 C s.ö.,,"Stolpe, Hjalmar",,,,,,,
Vapenknivslida,545139_HST,34000,Undernummer: Bj 391,Brons,"Björkö, Borgs hage",L2017:1478,Adelsö socken,Uppland,Sverige,Brandgrav,391,Historiska museet,Vapenknivslida - 62,https://samlingar.shm.se/object/5BE1D8DF-4A4E-4659-AF92-D7D40743BAFB,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,545139_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Borgs hage, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 391",Bj 391,"Stolpe, Hjalmar",1876,,8,,,,
Sköld,554205_HST,34000,Undernummer: Bj 477,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kistgrav,477,Historiska museet,Sköld - 63,https://samlingar.shm.se/object/D21237A7-0B20-4842-B3AB-6944A74F16C6,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,554205_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Obekant yttre gravskick: 477",Bj 477,"Stolpe, Hjalmar",1878,,6,,,,
Spjutspets,554164_HST,34000,Undernummer: Bj 477,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kistgrav,477,Historiska museet,Spjutspets - 64,https://samlingar.shm.se/object/08570816-5FBF-4FD9-BD16-878B9679BBE2,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,554164_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav, Obekant yttre gravskick: 477",Bj 477,"Stolpe, Hjalmar",1878,,,,,,
Yxa,555243_HST,34000,Undernummer: Bj 495,"Järn, Trä","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,495,Historiska museet,Yxa - 65,https://samlingar.shm.se/object/CF848B32-25D2-46F9-ADD7-81511785EB8B,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,555243_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 495",Bj 495,"Stolpe, Hjalmar",1876,,,,,,
Spjut,555392_HST,34000,Undernummer: Bj 496,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,496,Historiska museet,Spjut - 66,https://samlingar.shm.se/object/106BF017-FC16-4C15-91A9-66ACAA5539C0,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,555392_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 496",Bj 496,"Stolpe, Hjalmar",1876,,,,,,
Spjut,477688_HST,34000,Undernummer: Bj 736,"Järn, Koppar","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,736,Historiska museet,Spjut - 67,https://samlingar.shm.se/object/D8AA17D3-84C6-4F79-9D7C-0C6CFE8A8DD6,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,477688_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Hög, Grav: 736",Bj 736,"Stolpe, Hjalmar",1879,,1,,,,
Pilspets,478365_HST,34000,Undernummer: Bj 174,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,174,Historiska museet,Pilspets - 68,https://samlingar.shm.se/object/1B98C2C9-FECD-47AC-8C1B-2FFC0E34F11D,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,478365_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav, Hög: 174",Bj 174,"Stolpe, Hjalmar",1875,Längd 108.4 mm  Längd 16.3 mm,2,,,,
Pil,476061_HST,34000,Undernummer: Bj 731,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,731,Historiska museet,Pil - 69,https://samlingar.shm.se/object/48A9FECE-F70A-4B3D-A4C3-559826288202,Vapen och rustningar  Arkeologisk samling,12,800 – 1100,Vikingatid,476061_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 731",Bj 731,"Stolpe, Hjalmar",1879,,16,,,,
Rundsköld,477798_HST,34000,Undernummer: Bj 736,"Järn, Vitmetall, Trä, Läder, Textil","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,736,Historiska museet,Rundsköld - 70,https://samlingar.shm.se/object/10321294-DCCF-44E8-992A-61ED6F4341DB,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,477798_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Hög, Grav: 736",Bj 736,"Stolpe, Hjalmar",1879,,54,,,,
sporre/isbrodd,478679_HST,34000,Undernummer: Bj 736,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,736,Historiska museet,sporre/isbrodd - 71,https://samlingar.shm.se/object/FC49D693-835F-41BE-BD98-FFD5B039399F,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,478679_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Hög, Grav: 736",Bj 736,"Stolpe, Hjalmar",1879,,2,,,,
